# instance seed max_iter_dynamic    max_time    algorithm   selected_random_node    beta    max_iter_random alpha   percentage  n_type_nodes    max_dist    max_vehicles    time    mean_of mean_dynamic_of
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.8;0.5;5;0.7;200.0;2;91.40599799156189;769.973;412.497
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.7;0.5;5;0.7;200.0;2;87.41203784942627;710.666;409.539
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.8;0.5;5;0.7;200.0;2;8.71346378326416;769.47;416.72
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.9;0.5;5;0.7;200.0;2;8.737414598464966;811.41;414.16
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.9;0.5;5;0.6;200.0;2;17.56551694869995;896.0;373.0
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.9;0.5;5;0.7;200.0;2;17.12192988395691;890.0;466.0
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.9;0.5;5;0.8;200.0;2;18.00138521194458;924.0;447.0
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.9;0.5;5;0.7;200.0;2;85.31619954109192;805.976;410.619
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.9;0.5;5;0.7;200.0;2;85.79611468315125;812.511;416.955
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;100;0.9;0.5;5;0.8;200.0;2;1762.2618217468262;889.905;439.277
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.9;0.5;5;0.7;200.0;2;84.7966079711914;804.479;413.254
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.7;200.0;2;89.30964827537537;811.447;420.254
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.7;200.0;2;8.640347719192505;813.88;413.93
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;10;0.9;0.5;5;0.8;200.0;2;18.607430934906006;843.67;419.8
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.7;200.0;2;86.51250553131104;822.9;427.138
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;10;0.9;0.5;5;0.8;200.0;2;179.53196048736572;841.521;416.525
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.7;200.0;2;90.30853152275085;820.096;423.035
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;10;0.9;0.5;5;0.8;200.0;2;179.00494980812073;842.511;415.011
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.7;200.0;2;79.69741630554199;819.467;419.975
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;10;0.9;0.5;5;0.8;200.0;2;176.77042531967163;841.707;419.613
Set_102_234\p7.2.t.txt;25234631;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.7;200.0;2;81.59048414230347;813.885;412.38
Set_102_234\p7.2.t.txt;25234631;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;10;0.9;0.5;5;0.8;200.0;2;176.8487582206726;842.292;415.787
Set_102_234\p7.2.t.txt;2523461;10000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.7;200.0;2;837.3794648647308;822.519;425.8618
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;94.60301542282104;806.258;412.598
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;1000;0.9;0.5;5;0.8;200.0;2;24.11321473121643;919.0;448.782
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;94.7470817565918;813.53;421.812
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;1000;0.9;0.5;5;0.8;200.0;2;24.274883270263672;912.0;446.131
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;96.85682606697083;804.002;411.249
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;10000;0.9;0.5;5;0.8;200.0;2;200.44269037246704;938.0;454.723
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;89.23776769638062;810.878;412.658
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;1000;0.9;0.5;5;0.8;200.0;2;24.082832098007202;922.0;451.794
Set_102_234\p7.2.t.txt;25234631;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;93.31756973266602;808.341;417.441
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;99.62872958183289;806.528;409.053
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;1000;0.9;0.5;5;0.8;200.0;2;23.2645103931427;960.0;475.854
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;98.45143222808838;808.104;416.865
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;6.698259592056274;902.0;455.339
Set_102_234\p7.2.t.txt;25234631;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;99.37030720710754;816.425;416.425
Set_102_234\p7.2.t.txt;25234631;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;1000;0.9;0.5;5;0.8;200.0;2;24.012707948684692;918.0;446.329
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.8;0.5;5;0.7;200.0;2;88.99990344047546;764.389;418.207
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;86.28669285774231;812.7;416.576
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;5.639759302139282;893.0;440.905
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.8;0.5;5;0.7;200.0;2;88.09937071800232;778.434;421.583
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.6;0.5;5;0.7;200.0;2;84.45417141914368;658.464;400.369
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.7;0.5;5;0.7;200.0;2;87.34806418418884;721.243;418.184
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.6;0.5;5;0.7;200.0;2;52.87925124168396;24047.8;16511.1
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.7;0.5;5;0.7;200.0;2;61.31681728363037;31674.9;20543.5
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.8;0.5;5;0.7;200.0;2;65.92696857452393;35510.2;24139.6
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;87.08818173408508;45089.7;29480.4
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;5.853647470474243;14700.0;8936.2
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.8;0.5;5;0.7;200.0;2;84.29089879989624;30255.6;19997.6
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;94.07483196258545;43090.3;29307.6
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;4.6860527992248535;16000.0;8160.0
Set_102_234\p7.2.t.txt;25234631;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.8;0.5;5;0.7;200.0;2;98.72233176231384;35958.4;23437.9
Set_102_234\p7.2.t.txt;25234631;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;80.6055417060852;43044.8;29612.5
Set_102_234\p7.2.t.txt;25234631;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;2.6375277042388916;16300.0;9051.0
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.6;0.5;5;0.7;200.0;2;25.83047080039978;113.708;73.307
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.7;0.5;5;0.7;200.0;2;26.090073585510254;123.469;81.464
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.8;0.5;5;0.7;200.0;2;25.967300176620483;138.367;93.357
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.6;0.5;5;0.7;200.0;2;25.8141610622406;129.594;83.496
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;24.31496572494507;148.222;87.539
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;5.465863943099976;904.0;451.0
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;56.26008224487305;137.551;82.249
Set_102_234\p7.2.t.txt;2523461;10;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;0.26067686080932617;133.7;72.7
Set_102_234\p7.2.t.txt;2523461;10;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;1.8430943489074707;888.0;444.7
Set_102_234\p7.2.t.txt;25234621;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.8;0.5;5;0.7;200.0;2;26.903470754623413;130.746;82.969
